1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
2, 2, 2, 2, 3, 4, 5, 5, 5, 5, 5, 6, 7, 8, 8, 9, 
10, 5, 5, 6, 4, 5, 5, 5, 6, 7, 8, 8, 8, 11, 12, 13, 
10, 5, 5, 6, 4, 5, 5, 5, 6, 7, 8, 8, 8, 11, 14, 15, 
16, 17, 17, 17, 18, 19, 20, 20, 20, 20, 20, 21, 22, 17, 17, 23
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
24, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25, 
24, 25, 25, 25, 26, 27, 26, 27, 24, 25, 25, 25, 25, 25, 25, 25, 
24, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25, 
24, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 29, 29, 29, 29, 30, 31, 29, 28, 31, 29, 29, 29, 29, 30, 32, 
28, 29, 29, 29, 33, 34, 33, 34, 28, 31, 29, 29, 30, 31, 30, 35, 
28, 29, 29, 29, 36, 37, 35, 38, 28, 31, 29, 29, 29, 29, 30, 32, 
28, 29, 29, 29, 29, 30, 31, 29, 28, 31, 29, 29, 29, 29, 30, 32
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 31, 40, 40, 30, 37, 1, 31, 39, 37, 31, 30, 31, 30, 37, 37, 
39, 41, 40, 40, 42, 43, 42, 43, 39, 37, 31, 30, 1, 37, 37, 37, 
39, 31, 40, 40, 30, 37, 38, 40, 39, 37, 31, 30, 31, 30, 37, 37, 
28, 31, 40, 40, 30, 37, 1, 31, 39, 37, 31, 30, 31, 30, 37, 37
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 37, 31, 30, 37, 37, 37, 37, 39, 37, 37, 37, 37, 37, 37, 37, 
39, 44, 31, 30, 33, 34, 33, 34, 39, 37, 37, 37, 37, 37, 37, 37, 
39, 37, 31, 30, 37, 37, 31, 40, 28, 37, 37, 37, 37, 37, 37, 37, 
39, 37, 31, 30, 37, 37, 37, 37, 39, 37, 37, 37, 37, 37, 37, 37
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 37, 37, 37, 37, 45, 46, 47, 39, 37, 37, 37, 37, 37, 37, 37, 
39, 37, 45, 46, 48, 49, 48, 49, 28, 37, 37, 37, 37, 50, 51, 37, 
28, 1, 37, 37, 37, 37, 37, 31, 39, 37, 37, 37, 37, 37, 37, 37, 
39, 37, 37, 37, 37, 45, 46, 47, 39, 37, 37, 37, 37, 37, 37, 37
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 52, 53, 52, 53, 54, 55, 56, 28, 52, 53, 53, 53, 53, 53, 52, 
28, 37, 44, 44, 44, 44, 44, 44, 28, 37, 37, 37, 37, 44, 44, 37, 
28, 52, 53, 53, 53, 52, 53, 53, 28, 52, 53, 53, 53, 53, 52, 53, 
39, 52, 53, 52, 53, 54, 55, 56, 28, 52, 53, 53, 53, 53, 53, 52
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 37, 32, 32, 35, 31, 29, 29, 28, 35, 50, 57, 57, 51, 32, 38, 
28, 52, 53, 53, 53, 53, 52, 53, 28, 52, 53, 53, 53, 52, 53, 53, 
45, 58, 46, 46, 47, 46, 46, 47, 28, 35, 59, 60, 59, 60, 32, 38, 
28, 37, 32, 32, 35, 31, 29, 29, 28, 35, 50, 57, 57, 51, 32, 38
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 37, 37, 37, 37, 37, 31, 30, 28, 37, 44, 44, 44, 44, 38, 40, 
39, 35, 32, 32, 32, 32, 35, 35, 39, 32, 35, 32, 32, 32, 38, 40, 
61, 44, 44, 44, 44, 44, 44, 44, 28, 37, 44, 44, 44, 44, 38, 40, 
28, 37, 37, 37, 37, 37, 31, 30, 28, 37, 44, 44, 44, 44, 38, 40
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 37, 37, 37, 37, 37, 37, 38, 28, 1, 37, 37, 37, 37, 31, 40, 
39, 37, 37, 37, 37, 37, 37, 37, 39, 37, 37, 37, 37, 37, 31, 40, 
39, 37, 37, 62, 63, 37, 37, 38, 28, 37, 37, 37, 37, 37, 31, 40, 
39, 37, 37, 37, 37, 37, 37, 38, 28, 1, 37, 37, 37, 37, 31, 40
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
24, 37, 37, 37, 37, 37, 37, 31, 39, 37, 37, 37, 37, 37, 37, 31, 
26, 27, 26, 27, 37, 37, 37, 26, 27, 37, 37, 26, 27, 37, 37, 31, 
24, 37, 37, 64, 65, 37, 37, 31, 24, 37, 37, 37, 37, 37, 37, 31, 
24, 37, 37, 37, 37, 37, 37, 31, 39, 37, 37, 37, 37, 37, 37, 31
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
24, 52, 53, 53, 53, 53, 52, 53, 28, 53, 53, 53, 53, 53, 52, 53, 
33, 34, 33, 34, 52, 52, 52, 33, 34, 52, 53, 33, 34, 52, 53, 53, 
24, 52, 53, 66, 67, 53, 52, 53, 24, 52, 53, 52, 53, 53, 52, 53, 
24, 52, 53, 53, 53, 53, 52, 53, 28, 53, 53, 53, 53, 53, 52, 53
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
45, 58, 46, 47, 32, 32, 37, 35, 28, 32, 35, 32, 37, 45, 58, 47, 
48, 49, 48, 49, 46, 46, 46, 48, 49, 46, 46, 48, 49, 46, 46, 47, 
45, 46, 68, 46, 46, 68, 46, 46, 58, 46, 46, 46, 58, 46, 46, 47, 
45, 58, 46, 47, 32, 32, 37, 35, 28, 32, 35, 32, 37, 45, 58, 47
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
69, 70, 70, 71, 59, 60, 37, 37, 24, 37, 37, 59, 60, 69, 70, 71, 
69, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 71, 
69, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 71, 
69, 70, 70, 71, 59, 60, 37, 37, 24, 37, 37, 59, 60, 69, 70, 71
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
54, 55, 55, 56, 44, 44, 37, 37, 24, 37, 37, 44, 44, 54, 55, 56, 
54, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 56, 
54, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 56, 
54, 55, 55, 56, 44, 44, 37, 37, 24, 37, 37, 44, 44, 54, 55, 56
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
24, 72, 72, 72, 72, 72, 72, 72, 24, 72, 72, 72, 72, 72, 72, 72, 
45, 46, 46, 58, 46, 46, 46, 46, 58, 46, 46, 46, 46, 58, 46, 47, 
24, 72, 72, 72, 72, 72, 72, 72, 24, 72, 72, 72, 72, 72, 72, 72, 
24, 72, 72, 72, 72, 72, 72, 72, 24, 72, 72, 72, 72, 72, 72, 72
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
24, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25, 
69, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 73, 
24, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25, 
24, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 25, 25, 25, 25
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 29, 29, 29, 29, 29, 29, 29, 28, 31, 29, 29, 29, 29, 30, 37, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
28, 29, 29, 29, 29, 29, 29, 29, 28, 31, 29, 29, 29, 29, 30, 37, 
28, 30, 31, 29, 29, 29, 29, 29, 28, 31, 29, 29, 29, 29, 30, 35
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 31, 40, 40, 30, 31, 40, 40, 28, 37, 31, 30, 31, 30, 37, 37, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
28, 31, 40, 40, 30, 31, 40, 40, 28, 37, 31, 30, 31, 30, 37, 37, 
39, 37, 37, 31, 30, 31, 40, 40, 39, 37, 31, 30, 31, 30, 37, 37
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 37, 31, 30, 37, 37, 31, 40, 39, 37, 37, 37, 37, 37, 37, 37, 
69, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 71, 
39, 37, 31, 30, 37, 37, 31, 40, 39, 37, 37, 37, 37, 37, 37, 37, 
39, 37, 37, 37, 37, 37, 59, 60, 59, 60, 37, 37, 37, 37, 37, 37
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 37, 37, 37, 37, 37, 37, 77, 78, 79, 37, 37, 37, 37, 37, 37, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
39, 37, 37, 37, 37, 37, 37, 31, 28, 37, 37, 37, 37, 37, 37, 37, 
28, 37, 37, 37, 37, 37, 44, 44, 61, 44, 37, 37, 37, 37, 1, 37
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
39, 53, 53, 53, 52, 53, 53, 80, 81, 82, 53, 53, 53, 53, 52, 53, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
39, 53, 53, 53, 52, 53, 53, 53, 28, 53, 53, 53, 53, 53, 52, 53, 
28, 52, 53, 53, 52, 53, 52, 53, 39, 52, 52, 53, 53, 52, 53, 52
,
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 
28, 37, 32, 32, 37, 37, 32, 31, 28, 37, 32, 35, 37, 32, 37, 38, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
28, 37, 32, 32, 37, 37, 32, 31, 28, 37, 32, 35, 37, 32, 37, 38, 
28, 83, 84, 85, 32, 35, 32, 31, 39, 35, 32, 35, 83, 84, 85, 32
,
86, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 88, 
28, 37, 37, 37, 37, 37, 37, 37, 28, 37, 37, 37, 37, 37, 38, 40, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
28, 37, 37, 37, 37, 37, 37, 37, 28, 37, 37, 37, 37, 37, 38, 40, 
28, 44, 44, 44, 37, 50, 51, 37, 39, 50, 51, 37, 44, 44, 44, 37
,
71, 61, 29, 29, 29, 29, 29, 61, 29, 29, 29, 29, 29, 29, 61, 69, 
39, 37, 37, 37, 37, 37, 37, 38, 39, 37, 37, 37, 37, 37, 31, 40, 
74, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 75, 76, 
39, 37, 37, 37, 37, 37, 37, 38, 39, 37, 37, 37, 37, 37, 31, 40, 
39, 37, 37, 37, 37, 44, 44, 37, 28, 44, 44, 37, 37, 37, 37, 37
,
71, 24, 40, 40, 40, 40, 40, 24, 30, 31, 40, 40, 30, 31, 24, 69, 
28, 37, 37, 37, 37, 37, 37, 31, 39, 37, 37, 37, 37, 37, 37, 31, 
69, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 71, 
28, 37, 37, 37, 37, 37, 37, 31, 39, 37, 37, 37, 37, 37, 37, 31, 
